,0.90,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99
0.70,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127
0.72,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127
0.74,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127
0.76,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127
0.78,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127
0.80,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127
0.82,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127
0.84,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127
0.86,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127
0.88,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127
0.90,,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127,0.45262725062998127
